test_stimulus,presence,corr_key_resp,key_resp.keys,key_resp.corr,key_resp.rt,,,
cyan,yes,y,y,1,1.6400284,,Accuracy,1
yellow,no,n,n,1,0.7828298,,Mean_rt,0.8878451
green,yes,y,y,1,0.7148492,,SD,0.425509695
purple,no,n,n,1,0.701152,,,
red,yes,y,y,1,0.6003661,,,
,,,,,,,,
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\jap_character5.png,no,n,y,0,3.1814721,,Accuracy,0.8
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\jap_character2.png,yes,y,y,1,0.8442431,,Mean_rt,1.019251375
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\jap_character1.jpg,yes,y,y,1,0.8009799,,SD,0.438805472
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\jap_character3.jpg,yes,y,y,1,0.7565189,,,
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\jap_character4.png,no,n,n,1,1.6752636,,,
,,,,,,,,
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\blob4.jpg,no,n,y,0,1.7685209,,Accuracy,0.4
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\blob3.jpg,yes,y,n,0,1.4698796,,Mean_rt,1.23764155
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\blob1.jpg,yes,y,n,0,1.6790319,,SD,0.00323466
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\blob2.jpg,yes,y,y,1,1.2399288,,,
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\blob5.jpg,no,n,n,1,1.2353543,,,
,,,,,,,,
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\cube2.jpg,yes,y,n,0,1.5812973,,,
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\cube4.jpg,no,n,y,0,1.7671333,,Accuracy,0
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\cube1.jpg,yes,y,n,0,2.0869067,,,
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\cube3.jpg,yes,y,n,0,3.7426241,,,
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\cube5.jpg,no,n,y,0,1.3345377,,,
